"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C52","TopLayer","-6.6000","-1.3000","270"
"C51","TopLayer","11.6000","-0.9000","360"
"R23","TopLayer","-11.7000","-17.9000","360"
"C34","TopLayer","-7.2000","11.3000","180"
"C33","TopLayer","8.4000","-8.5000","360"
"C50","TopLayer","1.2000","-13.5000","180"
"X9","TopLayer","13.5000","-11.7000","270"
"U15","TopLayer","4.3000","8.8000","180"
"U14","TopLayer","-4.7000","-19.2000","90"
"U13","TopLayer","-6.3000","7.7750","0"
"U12","TopLayer","-11.3000","14.7000","0"
"U11","TopLayer","-12.0000","3.2000","180"
"U9","TopLayer","-12.0000","-1.7000","180"
"U8","TopLayer","-13.7000","-7.3000","270"
"U7","TopLayer","-11.8500","-13.4500","90"
"U6","TopLayer","-2.7000","-6.4000","0"
"U5","TopLayer","-2.6000","14.7000","180"
"U4","TopLayer","4.4999","-11.3001","0"
"U3","TopLayer","8.2000","-18.4000","270"
"U2","TopLayer","4.9000","-18.4000","90"
"U1","TopLayer","-0.2000","1.5000","90"
"S2","TopLayer","13.3000","0.2000","90"
"R38","TopLayer","-4.8000","-3.6000","90"
"R37","TopLayer","9.3000","6.8000","180"
"R36","TopLayer","15.9000","6.8000","270"
"R35","TopLayer","5.9000","5.5000","180"
"R34","TopLayer","1.1000","-5.5000","180"
"R33","TopLayer","8.6000","-14.9000","0"
"R32","TopLayer","8.6000","-10.5000","0"
"R31","TopLayer","2.9000","-5.5000","180"
"R30","TopLayer","-14.4000","1.4000","270"
"R29","TopLayer","-11.4000","1.1000","0"
"R28","TopLayer","-15.5000","3.9000","90"
"R25","TopLayer","-14.4000","-3.5000","270"
"R24","TopLayer","-11.5000","-3.8000","0"
"R22","TopLayer","-15.5000","-1.0000","90"
"R21","TopLayer","-11.8000","-9.5000","90"
"R20","TopLayer","-10.0000","-17.9000","180"
"R19","TopLayer","-12.8000","-16.8000","180"
"R18","TopLayer","-14.5000","-15.4000","90"
"R17","TopLayer","-15.6000","-8.5000","270"
"R16","TopLayer","-9.1000","-14.3000","90"
"R15","TopLayer","-13.2000","-10.0000","0"
"R14","TopLayer","-3.1000","18.1000","90"
"R13","TopLayer","-0.2000","18.1000","270"
"R12","TopLayer","8.6000","-9.5000","0"
"R11","TopLayer","3.1000","-4.1000","180"
"R10","TopLayer","6.7000","-12.2000","0"
"R9","TopLayer","6.7000","-13.1000","180"
"R8","TopLayer","4.4000","-15.8000","0"
"R7","TopLayer","6.7000","-15.8000","0"
"R6","TopLayer","6.7000","-14.9000","0"
"R5","TopLayer","4.4000","-21.0000","0"
"R4","TopLayer","12.8000","-17.9000","180"
"R3","TopLayer","1.3000","-4.1000","180"
"R2","TopLayer","3.3000","12.7000","0"
"R1","TopLayer","12.8000","-5.5000","180"
"Q9","TopLayer","-7.1000","-3.5000","180"
"Q8","TopLayer","13.2000","6.8000","0"
"Q7","TopLayer","-15.4000","14.3000","270"
"Q6","TopLayer","-10.4412","-20.2972","180"
"Q5","TopLayer","8.6000","-5.7000","270"
"Q4","TopLayer","1.3000","-10.7998","90"
"Q3","TopLayer","1.6002","-20.0000","0"
"Q2","TopLayer","1.6000","-16.3000","180"
"Q1","TopLayer","6.6000","1.3000","90"
"P6","TopLayer","-15.5000","1.7500","90"
"P4","TopLayer","-15.5000","-3.1500","90"
"P3","TopLayer","1.4000","15.5500","90"
"P2","TopLayer","15.3500","-17.9000","180"
"P1","TopLayer","15.3500","-5.5000","180"
"LS1","TopLayer","11.8000","13.3000","0"
"L3","TopLayer","-12.7160","8.8000","0"
"L2","TopLayer","-4.6000","-12.7000","180"
"L1","TopLayer","-7.5000","-6.9000","180"
"FL1","TopLayer","-11.5500","18.1000","90"
"D2","TopLayer","8.7000","-12.7000","90"
"D1","TopLayer","3.1000","-7.5000","0"
"C49","TopLayer","-9.4000","-3.6000","270"
"C48","TopLayer","5.7000","15.6000","90"
"C47","TopLayer","5.3000","10.9000","0"
"C46","TopLayer","3.3000","10.9000","180"
"C45","TopLayer","-0.6000","-17.9000","90"
"C44","TopLayer","-8.7000","9.1000","90"
"C43","TopLayer","-10.9160","6.1000","0"
"C42","TopLayer","-14.4160","6.1000","180"
"C41","TopLayer","-8.3000","13.9000","90"
"C40","TopLayer","-14.4000","17.1000","270"
"C39","TopLayer","-15.4000","17.1000","270"
"C38","TopLayer","-9.3000","11.3000","180"
"C37","TopLayer","-11.1000","11.3000","0"
"C36","TopLayer","-14.4000","3.4000","90"
"C35","TopLayer","-9.5000","3.4000","90"
"C32","TopLayer","-14.4000","-1.5000","90"
"C31","TopLayer","-9.5000","-1.5000","90"
"C30","TopLayer","-15.1000","-10.0000","0"
"C29","TopLayer","-14.9000","-16.8000","0"
"C28","TopLayer","-10.4000","-10.2000","180"
"C27","TopLayer","-10.9000","-16.8000","0"
"C26","TopLayer","-9.1000","-10.7000","270"
"C25","TopLayer","-15.3000","-15.4000","90"
"C24","TopLayer","-9.1000","-12.5000","270"
"C23","TopLayer","-14.4000","-18.7000","0"
"C22","TopLayer","-14.4000","-20.7000","0"
"C21","TopLayer","-15.1000","-12.4000","270"
"C20","TopLayer","-10.8000","-8.2000","90"
"C19","TopLayer","-3.7000","-8.5000","0"
"C18","TopLayer","-1.7000","-8.5000","0"
"C17","TopLayer","-4.1000","18.1000","270"
"C16","TopLayer","-2.1000","18.1000","270"
"C15","TopLayer","-1.1000","18.1000","270"
"C14","TopLayer","6.7000","-14.0000","180"
"C13","TopLayer","6.7250","-11.2048","0"
"C12","TopLayer","6.3000","-21.0000","180"
"C11","TopLayer","8.6000","-15.8000","0"
"C10","TopLayer","-3.0000","7.0000","0"
"C9","TopLayer","3.3000","11.8000","180"
"C8","TopLayer","5.9000","3.7000","180"
"C7","TopLayer","5.9000","-1.1000","0"
"C6","TopLayer","-3.0000","6.1000","180"
"C5","TopLayer","5.9000","-2.0000","180"
"C4","TopLayer","3.1000","-3.2000","0"
"C3","TopLayer","-4.8000","-1.3000","270"
"C2","TopLayer","-5.7000","-1.3000","270"
"C1","TopLayer","5.9000","4.6000","180"
"ANT1","TopLayer","-11.5500","19.3000","0"
